txn_count,num_addresses
1,507103709
2,19885931
3,7142900
4,3830043
5,2477956
6,1705345
7,1229499
8,944365
9,748056
10,610583
11,501709
12,423903
13,359533
14,311415
15,272364
16,239576
17,213884
18,192085
19,171055
20,155748
21,142782
22,131399
23,120558
24,112140
25,103590
26,93613
27,87533
28,80709
29,74767
30,70108
31,65030
32,61683
33,58243
34,54870
35,51358
36,48404
37,45598
38,42960
39,40583
40,39160
41,37033
42,34815
43,33555
44,32047
45,30115
46,28787
47,27484
48,26640
49,25606
50,24123
51,23277
52,22319
53,21137
54,20240
55,19705
56,18754
57,18004
58,17425
59,16795
60,16385
61,15862
62,15072
63,14844
64,14232
65,13809
66,13597
67,13051
68,12437
69,12403
70,12041
71,11751
72,11373
73,10878
74,10504
75,10440
76,10026
77,9632
78,9406
79,9063
80,8991
81,8766
82,8583
83,8253
84,8284
85,7984
86,7836
87,7455
88,7217
89,7086
90,7005
91,6725
92,6549
93,6415
94,6315
95,6206
96,6145
97,5791
98,5758
99,5570
100,5404
101,5441
102,5230
103,5132
104,5081
105,4766
106,4689
107,4657
108,4611
109,4481
110,4389
111,4319
112,4198
113,4293
114,4020
115,3937
116,3985
117,3768
118,3732
119,3654
120,3665
121,3570
122,3469
123,3525
124,3364
125,3440
126,3302
127,3265
128,3116
129,3165
130,3119
131,3034
132,2891
133,2871
134,2863
135,2895
136,2780
137,2724
138,2728
139,2629
140,2513
141,2458
142,2466
143,2414
144,2358
145,2321
146,2322
147,2296
148,2233
149,2147
150,2166
151,2060
152,2065
153,2110
154,2033
155,2104
156,1937
157,2015
158,1980
159,1999
160,1919
161,1962
162,1819
163,1938
164,1818
165,1757
166,1653
167,1705
168,1709
169,1667
170,1719
171,1683
172,1641
173,1596
174,1571
175,1613
176,1531
177,1505
178,1463
179,1451
180,1433
181,1487
182,1471
183,1366
184,1381
185,1349
186,1415
187,1287
188,1347
189,1285
190,1301
191,1229
192,1281
193,1215
194,1242
195,1203
196,1180
197,1168
198,1131
199,1154
200,1108
201,1134
202,1124
203,1093
204,1054
205,1098
206,1070
207,1038
208,986
209,1086
210,1039
211,990
212,1052
213,968
214,1018
215,907
216,938
217,919
218,859
219,921
220,914
221,905
222,844
223,876
224,883
225,822
226,847
227,864
228,839
229,927
230,823
231,846
232,820
233,818
234,803
235,803
236,769
237,732
238,734
239,785
240,762
241,758
242,715
243,701
244,712
245,743
246,705
247,699
248,708
249,738
250,641
251,642
252,644
253,640
254,648
255,630
256,630
257,595
258,661
259,642
260,619
261,603
262,589
263,588
264,553
265,591
266,585
267,563
268,538
269,548
270,544
271,550
272,522
273,562
274,573
275,516
276,496
277,510
278,515
279,544
280,507
281,505
282,518
283,452
284,517
285,528
286,481
287,503
288,427
289,503
290,467
291,472
292,440
293,423
294,476
295,446
296,466
297,410
298,406
299,428
300,422
301,417
302,396
303,392
304,428
305,352
306,384
307,406
308,355
309,414
310,393
311,370
312,368
313,352
314,402
315,377
316,413
317,357
318,352
319,387
320,359
321,331
322,374
323,322
324,359
325,334
326,342
327,322
328,334
329,370
330,313
331,363
332,332
333,322
334,302
335,375
336,320
337,303
338,317
339,297
340,335
341,313
342,279
343,301
344,302
345,308
346,327
347,303
348,330
349,310
350,285
351,281
352,352
353,306
354,299
355,294
356,282
357,311
358,271
359,292
360,281
361,299
362,304
363,293
364,288
365,280
366,289
367,320
368,288
369,300
370,275
371,267
372,281
373,249
374,307
375,275
376,254
377,256
378,287
379,250
