address,owner,type
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,Binance-coldwallet,EXCHANGE
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,Huobi-coldwallet,EXCHANGE
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,Bittrex-coldwallet,EXCHANGE
3CgKHXR17eh2xCj2RGnHJHTDjPpqaNDgyT,unknown,WHALE
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,unknown,WHALE
183hmJGRuTEi2YDCWy5iozY8rZtFwVgahM,unknown,WHALE
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,unknown,EXCHANGE
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Bitfinex-coldwallet,EXCHANGE
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,unknown,WHALE
3E35SFZkfLMGo4qX5aVs1bBDSnAuGgBH33,Binance-coldwallet,EXCHANGE
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,Bitfinex-coldwallet,EXCHANGE
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,unknown,WHALE
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,unknown,WHALE
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,unknown,WHALE
15VREscuZWHb41zzyivw6ZYagMyJ6YKFHd,unknown,WHALE
bc1q5shngj24323nsrmxv99st02na6srekfctt30ch,unknown,WHALE
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,unknown,WHALE
336xGpGweq1wtY4kRTuA4w6d7yDkBU9czU,Coincheck-coldwallet,EXCHANGE
13JQwoSLLR3ffXwswe2HCTK9oq4i8MWK3q,unknown,WHALE
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,unknown,WHALE
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,unknown,WHALE
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,unknown,WHALE
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,unknown,WHALE
3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M,unknown,WHALE
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,unknown,EXCHANGE
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG,Kraken.com,EXCHANGE
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B,unknown,EXCHANGE
14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS,Kraken.com,EXCHANGE
3MrMeBmbcDjLc52i7j3SdznChU4Fd4WHbw,unknown,WHALE
1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,unknown,WHALE
16FSBGvQfy4K8dYvPPWWpmzgKM6CvrCoVy,unknown,EXCHANGE
39zAv4u6QBSmUAttAUP6bLvENRMZuNAJaP,unknown,WHALE
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,unknown,WHALE
1Fp9KLM6cs35y8QvyqAiL714WMFSLBJDLC,unknown,WHALE
3ACGWkNmZFT8gMzo7vLUtocd8ajCjFW7FX,unknown,WHALE
16GTzLcEsAm4tHhwtZV1F6gxYDMmbdSMrv,unknown,WHALE
12BZD75sbMmdj5dy1d5cS2Lo4YWs1FDbDn,unknown,WHALE
12nxRsisUcJqCDeUpTYH2a7F5jcad3YhFG,unknown,WHALE
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,unknown,WHALE
3AbSEcJTvnSGsN2Ee99JLymRoLUbSFbmJx,unknown,WHALE
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,unknown,WHALE
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,unknown,WHALE
3N9an8wv4SYi3FVXs3xR5k2AqXeNZiw2mf,unknown,WHALE
1BvdLm9RcFWncKpJYr7YjFttYJ9zLf7We,unknown,WHALE
18jNaBVYmDzVWHiCDaShF6cZs9DV4N3omi,unknown,WHALE
1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,unknown,WHALE
3GaB3nRWA1PLc3XQkkbpVtFwYYZEuMxD4i,unknown,WHALE
3FrM1He2ZDbsSKmYpEZQNGjFTLMgCZZkaf,unknown,WHALE
3645N22DDswRxV4BQGbuBrgHCAYUmzcHU6,unknown,WHALE
1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,unknown,WHALE
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,unknown,WHALE
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,unknown,WHALE
1KeK2uTAe8hDVKTbpyDDzd7qfRZ8z3LJx,unknown,WHALE
3FiMKffg2kY2Pi2Kebn2HZqN7m6kEcNUMk,unknown,WHALE
1HBM45n214sV9yXoizBwTksUgEysTPpk46,unknown,WHALE
14Ai5GcasUdr5hR2GMzeojkzB9cm4oufHt,unknown,WHALE
1Q7cu7WkeDurYgffeEc9CEnA6zLohbh9iQ,unknown,WHALE
1Enhkd9LkQV56a9M12P4VuMDkjyTeLJy5m,unknown,WHALE
1JpiTWauQdtysbynNp88dWeuyg2gBbKDcT,unknown,WHALE
16Azr3MAzMKMPmxZXfRsBbBPYHnp2CuJNJ,unknown,WHALE
1EDRfeNkjkH2SAhSbEKzhKuabnEbVWbKEp,unknown,WHALE
1Hyh53PULY6Jyq5LPAJ4CHjgzEbVaqy7KU,unknown,WHALE
1JYbzYitYQ1ZWTx5KEx7WH2AejC5i5UUbF,unknown,WHALE
12n3s8MCqdZzPnTisYrXagbfw8pJg8y9BW,unknown,WHALE
19Te6hzGFSbryomVYqzG2kpBmAJYykx5Yv,unknown,WHALE
1MVo3EXLakJym29CFK6o1MyaCBMdvcmmrL,unknown,WHALE
1MqAfNMgbZoKtRinT89q1faSZqTKTqCFhR,unknown,WHALE
1FUBESNxB2JkyXPc4o9wwoGt158DC9A8dj,unknown,WHALE
1NNGdZMYsN9pgLSXZ5dD5KFUbatFynpmvY,unknown,WHALE
1H2zrVQxU3ymunr9CunjoActooLW2ryQK7,unknown,WHALE
1C5TB2QzeDDJUE4EQD17NmSyEXTk34huRo,unknown,WHALE
3Grbj3Q9awmMpVhrQ94y7BU4WaEq8yUZSn,unknown,WHALE
17YyZSNFt31pzGXfZtrzs7Y5Nd56rG2uU5,unknown,WHALE
1q9kwzJggw6AbQjzJeYQFYK8D5gQK8sSh,unknown,WHALE
153efDAfh8gUqGPH85JQXTrh8CQktAo9ug,unknown,WHALE
17rfparnM8RaaUyuHFNC9ErqkvRqebNPjE,unknown,WHALE
19G5kkYvjawZiYKhFeh8WmfBN31pdP94Jr,unknown,WHALE
1Cb1G5qFK91fShyaPPZWVFwYFBtqRG7h8D,unknown,WHALE
3AWpzKtkHfWsiv9RGXKA3Z8951LefsUGXQ,unknown,WHALE
1Hm9vfrEX7Gyjz2Nhi3McQ34PryLDHGrCq,unknown,WHALE
15xZvLJLAgxh8cxEmAbpx1H35oibHo5cLA,unknown,EXCHANGE
3D15C8yuFRiMYPfptEP6EJH1GKAqE6F1oG,unknown,WHALE
3MWqbpfzxgojEAah6PMZoZPdUPUTuyTpan,unknown,WHALE
33ZNiyx5Z5CMkULX7ENvcKKxFNCzGJv5vQ,unknown,WHALE
32sxoQm32gwDXevTijx4MTDCzx91dH4uj3,unknown,WHALE
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,unknown,WHALE
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,unknown,WHALE
1L5D4Eq2RkEKuN717Gc817MH1Sxs5WwMQh,unknown,WHALE
1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,unknown,WHALE
3E5B5QbDjUL471PEed9vZDwCSck9btBLkD,unknown,WHALE
1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,unknown,WHALE
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,unknown,WHALE
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,unknown,WHALE
12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,unknown,WHALE
bc1q2raxkmk55p000ggfa8euzs9fzq7p4cx4twycx7,unknown,WHALE
1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,unknown,WHALE
1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,unknown,WHALE
1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,unknown,WHALE
1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,unknown,WHALE
